YEARMADERANGE,WALLTYPE,ROOFTYPE,BEDROOMS,NCOMBATH,NHAFBATH,PRKGPLC1,STOVENFUEL,OVENUSE,AMTMICRO,DEFROST,TOASTER,NUMMEAL,FUELFOOD,COFFEE,NUMFRIG,TYPERFR1,SIZRFRI1,AGERFRI1,NUMFREEZ,DWASHUSE,WASHLOAD,DRYRUSE,TVCOLOR,TVSIZE1,TVTYPE1,TVONWD1,TVONWE1,NUMPC,TIMEON1,TIMEON2,TIMEON3,BATTOOLS,INTERNET,WELLPUMP,AQUARIUM,STEREO,HEATROOM,MOISTURE,FUELH2O,ACROOMS,USECENAC,PROTHERMAC,NUMCFAN,USECFAN,TREESHAD,RECBATH,LIGHTS,SLDDRS,WINDOWS,ADQINSUL,USENG,USESOLAR,ELWARM,ELWATER,ELFOOD,EMPLOYHH,Householder_Race,EDUCATION,NHSLDMEM,MEANAGE,RETIREPY,MONEYPY,POVERTY150,TOTSQFT,TOTHSQFT,TOTCSQFT,KWH,WSF
2,4,5,3,2,0,1,0,6,4,0,0,7,0,1,2,4,4,7,0,3,3,3,4,3,2,4,2,3,8,2,5,6,1,0,0,1,6,0,0,0,0,0,4,3,0,1,12.5,1,7,3,1,0,0,0,0,1,2,6,3,28,0,130000,0,1707,1307,436,7204,0.42
6,3,6,3,2,0,0,1,6,4,1,1,5,1,1,1,3,4,12,0,3,3,3,3,2,1,8,8,1,5,0,0,6,1,0,0,0,7,0,1,4,3,0,5,3,0,0,59.5,1,12,2,0,0,1,1,1,0,1,2,2,78,1,27500,0,1848,1617,924,14973,0.38
2,4,5,3,2,0,1,0,1,4,1,0,5,0,0,1,3,4,22,1,1,3,3,1,3,1,2,4,1,2,0,0,2,1,0,0,1,5,0,0,0,0,0,1,2,1,0,26.5,0,12,4,1,0,0,0,0,0,1,6,2,81,0,37500,0,1136,738,0,7517,0.44
6,7,0,2,2,0,0,1,1,1,0,1,5,1,1,1,1,3,17,0,1,0,0,1,2,1,2,2,1,2,0,0,0,0,0,0,0,4,0,0,4,3,0,0,0,0,0,22.5,0,7,4,1,0,0,0,1,0,1,4,1,85,1,42500,0,1026,1026,1026,4067,0.44
2,1,2,3,2,0,0,1,16,2,0,0,10,1,1,1,3,4,12,0,8,16,3,3,2,2,2,4,1,5,0,0,2,1,0,0,0,7,0,1,7,3,1,1,0,0,0,27.5,0,22,2,0,0,1,1,1,1,1,5,5,20.4,0,52500,0,2006,2006,2006,22567,0.37
3,7,5,2,2,0,1,0,6,3,1,0,5,1,1,1,4,4,2,1,5,7,3,2,2,2,1,1,2,5,2,0,6,1,0,0,0,6,0,1,6,2,1,5,3,1,0,18,1,18,3,0,0,1,1,1,0,1,5,2,81.5,1,27500,0,1620,1220,1220,9621,0.36
2,4,5,2,1,0,0,0,6,1,1,0,18,0,1,1,3,4,7,0,0,0,0,3,1,1,8,4,1,5,0,0,2,1,0,1,1,4,0,0,0,0,0,0,0,1,0,5,0,7,4,1,0,0,0,0,2,2,3,2,36.5,0,32500,0,666,666,0,1844,0.38
1,3,5,3,1,0,0,1,1,4,1,0,10,1,1,1,4,4,12,0,8,13,3,2,2,1,4,2,1,1,0,0,6,1,0,0,0,5,0,1,0,0,0,0,0,1,0,0,0,7,3,0,0,1,1,1,0,1,1,6,16.666666666666668,0,17500,1,1326,619,248,15459,0.54
2,6,5,4,2,1,1,0,9,0,0,1,10,0,1,2,3,4,2,0,3,7,3,2,2,1,4,4,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,1,1,0,52.5,0,18,4,1,0,0,0,0,0,1,2,3,78.66666666666667,1,42500,0,2277,1877,195,8046,0.52
1,2,6,2,1,0,0,0,6,2,0,0,10,0,1,1,4,4,7,0,1,0,0,2,2,1,12,12,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,1,1,0,5,0,12,3,1,0,1,0,0,0,2,2,2,71.5,1,2000,1,1232,748,88,3579,0.53
6,3,5,3,1,0,0,1,9,3,1,0,7,1,1,1,4,3,17,0,3,7,3,3,2,1,12,12,2,8,1,0,0,1,1,0,1,4,0,1,0,0,0,2,3,0,0,31.5,1,7,4,0,1,1,1,1,1,1,3,5,27.4,0,72500,0,2200,880,440,22822,0.61
3,1,5,5,3,0,1,1,6,4,0,0,10,1,0,1,3,4,2,1,8,3,3,3,2,3,8,8,5,10,10,10,2,1,0,0,0,7,1,0,7,3,1,2,2,0,0,42,0,18,4,1,0,1,0,1,1,1,4,5,43.2,1,32500,1,3573,2295,2295,20791,0.56
3,1,5,3,2,1,0,1,1,0,0,1,7,1,1,1,4,3,3,0,3,13,3,2,3,2,4,4,3,2,2,1,2,1,0,0,1,5,0,1,0,0,0,0,0,0,0,10.5,1,7,3,0,0,1,1,1,2,1,4,4,30.75,0,130000,0,1127,1127,901,24977,0.59
